seqnames	start	end	width	strand	tx_id	gene_id
chr1	37299891	37410736	110846	+	530	269180
chr1	37299915	37399557	99643	+	532	269180
chr1	37300308	37408289	107982	+	533	269180
chr1	37300308	37408733	108426	+	534	269180
chr1	37357397	37403690	46294	+	535	269180
chr1	37357397	37408469	51073	+	536	269180
chr1	37357919	37408259	50341	+	537	269180
chr1	37369217	37404434	35218	+	538	269180
chr1	37369217	37404442	35226	+	539	269180
chr1	37369221	37404439	35219	+	540	269180
chr1	37430139	37438984	8846	+	542	67387
chr1	37430170	37439124	8955	+	543	67387
chr1	37430177	37437478	7302	+	544	67387
chr1	37430186	37437270	7085	+	545	67387
chr1	37430202	37438987	8786	+	546	67387
chr1	37430208	37431554	1347	+	547	67387
chr1	37871738	37875343	3606	+	552	623661
chr1	37872206	37876228	4023	+	553	623661
chr1	37872374	37875460	3087	+	554	623661
chr1	37872562	37875554	2993	+	555	623661
chr1	37890477	37898535	8059	+	556	107734
chr1	37890532	37898364	7833	+	557	107734
chr1	37890543	37893984	3442	+	559	107734
chr1	37892933	37898165	5233	+	560	107734
chr1	37893935	37898338	4404	+	561	107734
chr1	37998010	38055579	57570	+	565	226982
chr1	38939149	38950276	11128	+	581	433292
chr1	38939203	38948643	9441	+	582	433292
chr1	38985608	38997238	11631	+	583	68833
chr1	38987841	38994917	7077	+	584	68833
chr1	38987865	38995807	7943	+	585	68833
chr1	39193731	39287615	93885	+	588	18143
chr1	39194212	39363236	169025	+	589	18143
chr1	39367842	39371911	4070	+	592	114641
chr1	39367878	39371366	3489	+	593	114641
chr1	39367929	39371364	3436	+	594	114641
chr1	39367929	39371365	3437	+	595	114641
chr1	39368149	39371366	3218	+	596	114641
chr1	39534992	39546889	11898	+	600	52846
chr1	39535802	39546873	11072	+	601	52846
chr1	39540034	39545401	5368	+	603	52846
chr1	39900913	40026310	125398	+	605	26921
chr1	39900913	40026310	125398	+	606	26921
chr1	39901170	39990278	89109	+	608	26921
chr1	39901179	40024754	123576	+	609	26921
chr1	39901179	40024754	123576	+	610	26921
chr1	39901180	40024754	123575	+	611	26921
chr1	39901224	40024969	123746	+	612	26921
chr1	39901230	40024925	123696	+	613	26921
chr1	39999893	40006742	6850	+	617	26921
chr1	39999894	40004910	5017	+	618	26921
chr1	40000677	40010657	9981	+	619	26921
chr1	40074079	40112136	38058	+	623	16178
chr1	40084698	40125231	40534	+	624	16178
chr1	40084792	40125219	40428	+	625	16178
chr1	40085985	40102436	16452	+	626	16178
chr1	40225080	40317257	92178	+	628	16177
chr1	40266586	40316201	49616	+	630	16177
chr1	40324627	40365471	40845	+	633	107527
chr1	40324690	40367562	42873	+	634	107527
chr1	40325611	40329171	3561	+	635	107527
chr1	40429570	40446723	17154	+	637	17082
chr1	40436589	40441407	4819	+	638	17082
chr1	40439627	40465415	25789	+	639	17082
chr1	40439776	40448148	8373	+	640	17082
chr1	40440628	40465396	24769	+	641	17082
chr1	40465552	40491578	26027	+	642	16182
chr1	40465676	40491580	25905	+	643	16182
chr1	40465970	40491578	25609	+	644	16182
chr1	40466006	40500833	34828	+	645	16182
chr1	40466006	40500853	34848	+	646	16182
chr1	40466006	40500854	34849	+	647	16182
chr1	40515362	40551705	36344	+	648	16174
chr1	40580081	40630725	50645	+	652	110895
chr1	40680574	40769273	88700	+	656	226999
chr1	40681597	40727681	46085	+	657	226999
chr1	40805601	40856887	51287	+	660	381339
chr1	42695768	42703176	7409	+	672	18993
chr1	42851233	42905682	54450	+	674	69527
chr1	42887737	42905683	17947	+	679	69527
chr1	42952963	43035456	82494	+	682	93690
chr1	43032060	43033605	1546	+	685	NA
chr1	43098710	43115947	17238	+	689	98404
chr1	43444579	43533632	89054	+	693	17974
chr1	43445751	43570515	124765	+	695	17974
chr1	43532405	43554062	21658	+	698	17974
chr1	43533569	43569342	35774	+	699	17974
chr1	43730602	43742578	11977	+	701	78896
chr1	43934007	44002971	68965	+	708	22019
chr1	43934015	44003000	68986	+	711	22019
chr1	43934033	43990603	56571	+	712	22019
chr1	43934045	43990584	56540	+	713	22019
chr1	43971370	43977352	5983	+	714	22019
chr1	43983285	44003000	19716	+	715	22019
chr1	44118957	44126566	7610	+	717	246229
chr1	44119162	44144510	25349	+	719	246229
chr1	44119968	44144770	24803	+	721	246229
chr1	44119979	44126407	6429	+	722	246229
chr1	44147847	44181260	33414	+	724	22592
chr1	44551511	44796838	245328	+	732	70676
chr1	44551693	44788874	237182	+	733	70676
chr1	44551693	44796826	245134	+	734	70676
chr1	44552597	44708632	156036	+	736	70676
chr1	44689144	44796825	107682	+	739	70676
chr1	45311538	45349706	38169	+	744	12825
chr1	45335766	45340674	4909	+	749	12825
chr1	45339958	45347766	7809	+	750	12825
chr1	45795166	45823619	28454	+	755	73674
chr1	45795507	45803929	8423	+	758	73674
chr1	45822558	45823616	1059	+	763	73674
chr1	46066738	46373546	306809	+	769	227058
chr1	46066738	46373550	306813	+	770	227058
chr1	46066853	46373546	306694	+	771	227058
chr1	46356620	46373540	16921	+	775	227058
chr1	46425592	46807476	381885	+	778	100101919
chr1	46608961	46626111	17151	+	779	100101919
chr1	50909962	50979920	69959	+	804	56363
chr1	50927519	51187270	259752	+	805	56363
chr1	51289126	51302960	13835	+	809	20324
chr1	51987148	52107189	120042	+	810	20849
chr1	52008243	52107184	98942	+	811	20849
chr1	52119440	52155412	35973	+	815	20846
chr1	52119455	52161865	42411	+	816	20846
chr1	52119490	52155412	35923	+	817	20846
chr1	52119492	52161007	41516	+	818	20846
chr1	52119498	52132633	13136	+	819	20846
chr1	52119549	52155331	35783	+	820	20846
chr1	52119624	52160730	41107	+	823	20846
chr1	52150258	52161863	11606	+	825	20846
chr1	52152253	52159560	7308	+	826	20846
chr1	52630703	52651919	21217	+	830	227094
chr1	52630737	52651919	21183	+	831	227094
chr1	52630747	52650636	19890	+	832	227094
chr1	52630797	52650702	19906	+	834	227094
chr1	52845013	52920981	75969	+	840	227095
chr1	52845046	52920986	75941	+	842	227095
chr1	53061640	53068079	6440	+	846	17700
chr1	53061657	53068045	6389	+	847	17700
chr1	53297095	53310309	13215	+	851	227102
chr1	53297111	53318035	20925	+	852	227102
chr1	53313624	53326343	12720	+	853	72085
chr1	53313654	53326174	12521	+	854	72085
chr1	53313663	53324064	10402	+	857	72085
chr1	53313673	53326167	12495	+	858	72085
chr1	54250683	54368727	118045	+	865	78016
chr1	54250722	54368470	117749	+	866	78016
chr1	54329992	54368608	38617	+	867	78016
chr1	55052770	55071953	19184	+	873	67876
chr1	55052770	55072702	19933	+	874	67876
chr1	55088132	55091307	3176	+	878	15528
chr1	55131231	55153938	22708	+	881	19070
chr1	55131231	55154899	23669	+	882	19070
chr1	55131282	55152999	21718	+	884	19070
chr1	55131287	55153359	22073	+	885	19070
chr1	55131320	55152783	21464	+	886	19070
chr1	55237177	55248470	11294	+	891	212679
chr1	55405921	55754285	348365	+	893	227120
chr1	57377620	57385423	7804	+	910	73467
chr1	57406328	57417953	11626	+	913	68115
chr1	57774162	57885768	111607	+	916	67198
chr1	57774301	57902109	127809	+	918	67198
chr1	57774365	57946964	172600	+	919	67198
chr1	57774600	57885836	111237	+	921	67198
chr1	57774735	57946965	172231	+	922	67198
chr1	57774744	57938021	163278	+	923	67198
chr1	57774755	57946965	172211	+	924	67198
chr1	57774861	57948394	173534	+	925	67198
chr1	57845571	57946965	101395	+	929	67198
chr1	57995971	58025899	29929	+	931	68549
chr1	58029931	58106413	76483	+	933	11761
chr1	58113136	58200698	87563	+	936	71724
chr1	58113186	58139122	25937	+	938	71724
chr1	58210397	58268597	58201	+	940	71872
chr1	58278326	58380259	101934	+	945	213043
chr1	58392898	58407353	14456	+	946	66882
chr1	58393124	58403004	9881	+	947	66882
chr1	58393132	58405487	12356	+	948	66882
chr1	58393470	58405131	11662	+	949	66882
chr1	58445151	58463456	18306	+	950	65102
chr1	58445267	58481816	36550	+	951	65102
chr1	58445628	58450507	4880	+	952	65102
chr1	58445729	58448050	2322	+	953	65102
chr1	58447631	58462266	14636	+	954	65102
chr1	58586384	58595964	9581	+	961	66495
chr1	58711551	58753976	42426	+	973	12633
chr1	58711560	58758884	47325	+	974	12633
chr1	58713294	58733227	19934	+	975	12633
chr1	58713317	58755165	41849	+	977	12633
chr1	58795374	58847503	52130	+	981	12370
chr1	58795477	58846754	51278	+	982	12370
chr1	58802502	58847008	44507	+	984	12370
chr1	58802653	58846754	44102	+	985	12370
chr1	58973522	58991512	17991	+	988	227154
chr1	58973522	58994997	21476	+	989	227154
chr1	58973522	58995122	21601	+	990	227154
chr1	58973522	58995715	22194	+	991	227154
chr1	58991058	58994359	3302	+	992	227154
chr1	59256906	59352993	96088	+	1000	271697
chr1	59256907	59352369	95463	+	1001	271697
chr1	59482424	59486955	4532	+	1005	14369
chr1	59516264	59634509	118246	+	1006	381260
chr1	59524294	59552527	28234	+	1007	381260
chr1	59582396	59607805	25410	+	1011	381260
chr1	59630323	59636417	6095	+	1016	381260
chr1	59684977	59711510	26534	+	1019	55989
chr1	59684985	59696077	11093	+	1020	55989
chr1	59685009	59719044	34036	+	1023	55989
chr1	59685021	59696052	11032	+	1024	55989
chr1	59685054	59698422	13369	+	1025	55989
chr1	59696027	59704161	8135	+	1030	55989
chr1	59698416	59707064	8649	+	1031	55989
chr1	59704159	59709099	4941	+	1032	55989
chr1	59704198	59711279	7082	+	1033	55989
chr1	59704709	59711280	6572	+	1035	55989
chr1	59763400	59879014	115615	+	1037	12168
chr1	59913006	59985346	72341	+	1041	72750
chr1	59970680	59981515	10836	+	1043	72750
chr1	60098247	60151032	52786	+	1045	241066
chr1	60098264	60125977	27714	+	1047	241066
chr1	60105344	60153953	48610	+	1049	241066
chr1	60108081	60150729	42649	+	1050	241066
chr1	60108102	60150800	42699	+	1051	241066
chr1	60108102	60150800	42699	+	1052	241066
chr1	60141448	60148027	6580	+	1055	241066
chr1	60180599	60338328	157730	+	1056	269198
chr1	60222202	60235561	13360	+	1058	269198
chr1	60260306	60319694	59389	+	1061	269198
chr1	60260314	60331466	71153	+	1062	269198
chr1	60278770	60291929	13160	+	1064	269198
chr1	60343323	60388060	44738	+	1067	77951
chr1	60343323	60388060	44738	+	1068	77951
chr1	60409619	60481158	71540	+	1070	329165
chr1	60409695	60477088	67394	+	1071	329165
chr1	60409695	60481158	71464	+	1072	329165
chr1	60409734	60479518	69785	+	1073	329165
chr1	60409795	60447304	37510	+	1075	329165
chr1	60409803	60477158	67356	+	1076	329165
chr1	60437083	60477758	40676	+	1078	329165
chr1	60437207	60476920	39714	+	1079	329165
chr1	60437212	60477083	39872	+	1080	329165
chr1	60438942	60477304	38363	+	1081	329165
chr1	60746358	60773359	27002	+	1086	12487
chr1	60909025	60915832	6808	+	1095	12477
chr1	60909171	60914769	5599	+	1096	12477
chr1	60977927	60995797	17871	+	1097	54167
chr1	60977927	61000320	22394	+	1098	54167
chr1	61638824	62642284	1003461	+	1109	72823
chr1	61639243	62637923	998681	+	1112	72823
chr1	61639243	62642284	1003042	+	1113	72823
chr1	62703285	62818695	115411	+	1121	18187
chr1	62703285	62818695	115411	+	1122	18187
chr1	62703702	62796981	93280	+	1123	18187
chr1	62703702	62799314	95613	+	1124	18187
chr1	62703702	62818695	114994	+	1125	18187
chr1	62703702	62818695	114994	+	1126	18187
chr1	63176825	63180486	3662	+	1138	55949
chr1	63177129	63179362	2234	+	1139	55949
chr1	63177130	63179656	2527	+	1140	55949
chr1	63177145	63179568	2424	+	1142	55949
chr1	63177145	63179622	2478	+	1143	55949
chr1	63177185	63178879	1695	+	1145	55949
chr1	63177223	63178898	1676	+	1146	55949
chr1	63273265	63314576	41312	+	1154	73884
chr1	63273269	63295022	21754	+	1155	73884
chr1	63290738	63314575	23838	+	1156	73884
chr1	63445895	63596276	150382	+	1158	23792
chr1	63446211	63592912	146702	+	1161	23792
chr1	63446211	63596276	150066	+	1162	23792
chr1	63615968	63620819	4852	+	1169	105243944
chr1	63730614	63754655	24042	+	1171	75619
chr1	64532645	64597695	65051	+	1182	12912
chr1	64532797	64597571	64775	+	1183	12912
chr1	64532809	64578216	45408	+	1185	12912
chr1	64532809	64601257	68449	+	1186	12912
chr1	64532819	64604548	71730	+	1187	12912
chr1	64532859	64597467	64609	+	1189	12912
chr1	64532894	64597477	64584	+	1190	12912
chr1	64690455	64725644	35190	+	1195	227210
chr1	64690822	64723946	33125	+	1196	227210
chr1	64691183	64711453	20271	+	1197	227210
chr1	64691345	64725640	34296	+	1198	227210
chr1	65186689	65246898	60210	+	1204	18711
chr1	65186702	65278695	91994	+	1208	18711
chr1	65186713	65192187	5475	+	1211	18711
chr1	65186750	65274012	87263	+	1212	18711
chr1	65282056	65345341	63286	+	1214	213527
chr1	65311257	65389244	77988	+	1215	213527
chr1	65926520	65928307	1788	+	1217	12969
chr1	65926538	65928306	1769	+	1218	12969
chr1	66175273	66380617	205345	+	1221	17756
chr1	66175313	66442028	266716	+	1222	17756
chr1	66175316	66442583	267268	+	1223	17756
chr1	66251647	66442581	190935	+	1226	17756
chr1	66251662	66442581	190920	+	1227	17756
chr1	66321719	66439188	117470	+	1229	17756
chr1	66322102	66401486	79385	+	1232	17756
chr1	66364655	66442583	77929	+	1233	17756
chr1	66364658	66442583	77926	+	1234	17756
chr1	66380512	66413401	32890	+	1235	17756
chr1	66380702	66412930	32229	+	1236	17756
chr1	66386978	66414251	27274	+	1238	17756
chr1	66416111	66438304	22194	+	1242	17756
chr1	66416111	66438304	22194	+	1243	17756
chr1	66416791	66438281	21491	+	1244	17756
chr1	66433575	66439453	5879	+	1245	17756
chr1	66468367	66699148	230782	+	1247	329178
chr1	66468414	66504944	36531	+	1248	329178
chr1	66468447	66695596	227150	+	1250	329178
chr1	66679699	66696663	16965	+	1252	329178
chr1	66700831	66715194	14364	+	1253	66646
chr1	66700831	66719805	18975	+	1254	66646
chr1	66700831	66719805	18975	+	1255	66646
chr1	66700831	66719805	18975	+	1256	66646
chr1	66700907	66718019	17113	+	1257	66646
chr1	67123026	67231259	108234	+	1264	227231
chr1	69826988	70725132	898145	+	1279	66722
chr1	69826992	69926242	99251	+	1280	66722
chr1	70725715	70885397	159683	+	1285	320460
chr1	70725902	70885382	159481	+	1287	320460
chr1	70725923	70882489	156567	+	1288	320460
chr1	71557150	71579631	22482	+	1289	108147
chr1	72284369	72303104	18736	+	1309	271711
chr1	72284395	72300773	16379	+	1310	271711
chr1	72307427	72394952	87526	+	1311	22596
chr1	72583251	72585991	2741	+	1313	54380
chr1	72583251	72595831	12581	+	1314	54380
chr1	72583251	72633134	49884	+	1318	54380
chr1	72583615	72633134	49520	+	1319	54380
chr1	72711290	72713813	2524	+	1325	19981
chr1	72711758	72713617	1860	+	1327	19981
chr1	72824503	72852474	27972	+	1329	16008
chr1	72825322	72852467	27146	+	1330	16008
chr1	74125541	74148223	22683	+	1343	435626
chr1	74125579	74147773	22195	+	1344	435626
chr1	74153989	74160610	6622	+	1345	12765
chr1	74153991	74161246	7256	+	1346	12765
chr1	74236084	74236888	805	+	1348	76709
chr1	74236497	74268209	31713	+	1349	76709
chr1	74236517	74267987	31471	+	1350	76709
chr1	74236550	74267988	31439	+	1351	76709
chr1	74278550	74279624	1075	+	1352	227289
chr1	74284930	74287454	2525	+	1354	56695
chr1	74285045	74353684	68640	+	1355	56695
chr1	74285055	74353694	68640	+	1358	56695
chr1	74332610	74353686	21077	+	1363	56695
chr1	74362108	74369321	7214	+	1365	241112
chr1	74362366	74367798	5433	+	1366	241112
chr1	74362442	74369150	6709	+	1367	241112
chr1	74375195	74385755	10561	+	1369	18173
chr1	74375203	74386062	10860	+	1371	18173
chr1	74391509	74397285	5777	+	1380	227292
chr1	74392162	74394069	1908	+	1382	227292
chr1	74409376	74435559	26184	+	1384	22349
chr1	74419053	74423018	3966	+	1385	22349
chr1	74506058	74530842	24785	+	1388	58184
chr1	74542888	74567794	24907	+	1391	18802
chr1	74542888	74567794	24907	+	1392	18802
chr1	74542888	74567794	24907	+	1393	18802
chr1	74542903	74565977	23075	+	1395	18802
chr1	74542903	74565977	23075	+	1396	18802
chr1	74544364	74565977	21614	+	1398	18802
chr1	74544364	74565977	21614	+	1399	18802
chr1	74588289	74592124	3836	+	1402	66821
chr1	74588300	74592443	4144	+	1403	66821
chr1	74588374	74592189	3816	+	1404	66821
chr1	74601445	74636894	35450	+	1406	269209
chr1	74601503	74634100	32598	+	1408	269209
chr1	74601514	74605525	4012	+	1409	269209
chr1	74601639	74636043	34405	+	1410	269209
chr1	74603210	74611256	8047	+	1411	269209
chr1	74661745	74703730	41986	+	1415	67534
chr1	74661750	74685357	23608	+	1416	67534
chr1	74661817	74681791	19975	+	1418	67534
chr1	74678898	74697977	19080	+	1419	67534
chr1	74713574	74737892	24319	+	1426	104086
chr1	74771892	74785322	13431	+	1430	22420
chr1	74791516	74804179	12664	+	1432	22409
chr1	74793363	74803495	10133	+	1433	22409
chr1	74854934	74857732	2799	+	1435	12570
chr1	75142778	75147909	5132	+	1438	227298
chr1	75142786	75147913	5128	+	1439	227298
chr1	75142794	75147909	5116	+	1440	227298
chr1	75142980	75144664	1685	+	1441	227298
chr1	75143165	75147907	4743	+	1442	227298
chr1	75143182	75144377	1196	+	1443	227298
chr1	75145304	75145761	458	+	1445	227298
chr1	75168646	75170752	2107	+	1446	68818
chr1	75168646	75171629	2984	+	1448	68818
chr1	75168655	75171625	2971	+	1449	68818
chr1	75168928	75171402	2475	+	1454	68818
chr1	75192160	75199387	7228	+	1459	52231
chr1	75192160	75199387	7228	+	1460	52231
chr1	75192192	75195534	3343	+	1461	52231
chr1	75210838	75215606	4769	+	1463	20872
chr1	75210848	75212235	1388	+	1465	20872
chr1	75210870	75214242	3373	+	1466	20872
chr1	75210874	75212234	1361	+	1467	20872
chr1	75211054	75213228	2175	+	1470	20872
chr1	75211240	75213951	2712	+	1471	20872
chr1	75236406	75245688	9283	+	1480	56812
chr1	75236465	75244804	8340	+	1481	56812
chr1	75236465	75244804	8340	+	1482	56812
chr1	75236469	75245692	9224	+	1483	56812
chr1	75236487	75245690	9204	+	1484	56812
chr1	75236513	75245055	8543	+	1485	56812
chr1	75236556	75245690	9135	+	1486	56812
chr1	75236614	75239333	2720	+	1487	56812
